,Summary,Date,JobTitle,AuthorLocation,OverallRating,Pros,Cons,Company,negative,neutral,positive,compound
36,loccitane,"Oct 1, 2021", Sales Associate,Melbourne,5.0, company discount pay rate training culture incentives, a lot of virtual training to complete,L'Occitane,0.0,1.0,0.0,0.0
37,best job ever,"Sep 23, 2021", Sales Associate,"Schaumburg, IL",5.0,everything i loved it here it was so amazing the staff was friendly you learn so much everyday you get to go to france it was truly a magical experience,when the gm visited the store they could be a bit mean,L'Occitane,0.0,0.323,0.677,0.6369
38,retail industry,"Sep 20, 2021", Retail Assistant- Sales Floor,"Calgary, AB",4.0,nice products nice atmosphere to work,the nature of retail business,L'Occitane,0.0,1.0,0.0,0.0
39,not a bad company to work with,"Aug 26, 2021", Assistant Marketing Manager,Hong Kong,3.0,good benefit flexible working hour wfh on fridays,long working hour not resilient enough on employee policy when dealing with covid,L'Occitane,0.0,0.637,0.363,0.431
40,job,"Aug 18, 2021", Team Member,"Chicago, IL",3.0,early access to and product lots of samples pleasant work space you can wash your hands its cool working with fragrance meeting people,low pay for location and they send you home if it is slow you cant force people into the shopso you get there and are told to go home,L'Occitane,0.0,1.0,0.0,0.0
41,good place to work,"Aug 18, 2021", Beauty Advisor,"Washington, DC",4.0,there was lots of opportunity to learn about different product,the workload seemed like too much for a part time position certain tasks seemed like work for the manager,L'Occitane,0.0,0.508,0.492,0.4404
42,nope,"Aug 17, 2021", Beauty Advisor,"Toronto, ON",2.0,discount for products were good,management is bad depending on store,L'Occitane,0.0,1.0,0.0,0.0
43,was a good years,"Aug 15, 2021", Store Manager,"Williamsburg, VA",5.0,well there are a lot of pros i had the best store i called my yellow store very happy to go to work i ran it like it was my own business i will miss the store a lot i had good dms who treated me with respect it was a good years,always listen to the people who run the stores,L'Occitane,0.0,0.408,0.592,0.4404
44,nice environment to work with,"Aug 11, 2021", Store Manager,"Toronto, ON",5.0,good work environment good team good staff discount online my true story training is easy to access every months we launch new products very exciting,the hourly rate for store managers is not much and these day it is hard to find either part time staff and full time staff therefore sometimes managers need to work extra hours,L'Occitane,0.0,0.588,0.412,0.4215
45,good place to work,"Aug 10, 2021", Beauty Advisor,"New York, NY",4.0,your schedule and shifts have flexibility so no need to always tell your manager in early advance,the gratis is no longer as nice as before we got the holiday season is super busy so you have no time to take a rest,L'Occitane,0.0,0.508,0.492,0.4404
46,amazing work environment,"Aug 10, 2021", Sales,"Boston, MA",4.0,it is a loving environment with a positive and competitive encouragement from managers,there is little room to no room for advancement,L'Occitane,0.0,0.345,0.655,0.5859
47,great job,"Aug 4, 2021", Sales Associate,"Camarillo, CA",5.0,you smell good and try launching products,systems are old schoolneeds to upgrade technology,L'Occitane,0.0,0.196,0.804,0.6249
48,best company ive ever worked for,"Aug 4, 2021", Senior Sales Associate,"Salisbury, England",5.0,incredible team great benefits staff are amazing to work with they were welcoming from the start and i enjoyed every moment of working there,i did not feel there were any downsides to working there they have always been lovely and i would definitely work withfor them again,L'Occitane,0.0,0.543,0.457,0.6369
49,good job to expand knowledge of skincare,"Jul 28, 2021", Marketing,"New York, NY",3.0,free product benefits offered good product training modules,staff can be in cliques not much room for growth,L'Occitane,0.0,0.49,0.51,0.6369
50,responsible employer,"Jul 27, 2021", CMI Director,Geneva,4.0,global scope love brand worklife balance strong company values and commitments,siloed organisation decentralised relatively slow,L'Occitane,0.0,0.303,0.697,0.3182
51,overall nice to worn for,"Jul 26, 2021", Sales Associate,"London, England",4.0,friendly nice staff some good rewards,low hour contracts given and expected to work overtime,L'Occitane,0.275,0.375,0.35,0.1531
52,the team in my location was nice to work with,"Jul 25, 2021", Sales Associate,"Vancouver, BC",4.0,good team atmosphere flexible work hours get change to try out new product provide product training,basic pay provide onsite product training but it does not go deep not sure about the career path,L'Occitane,0.0,0.763,0.237,0.4215
53,good company,"Jul 22, 2021", Sales Assistant,"Niagara, ON",4.0,good products nice staff good training provided monthly allocation of products,goals and targets were often very high and hard to achieve,L'Occitane,0.0,0.256,0.744,0.4404
54,sales associate review,"Jul 19, 2021", Sales Associate,Sydney,3.0,great coworkers and overall atmosphere,not having more travel sized products to sell to tourists who made up the majority foot traffic in our shop,L'Occitane,0.0,1.0,0.0,0.0
55,job experience,"Jul 11, 2021", Digital Marketing Manager,"London, OH",5.0,flexible hours good team spirit good work culture,the salary are a bit low compared to the market,L'Occitane,0.0,1.0,0.0,0.0
56,good product and gratis weird corporate structure,"Jul 8, 2021", Sales Associate,"Ridgeland, MS",3.0,stores were great and worked well with others corporate very out of touch,increases benefits communication with corporate,L'Occitane,0.173,0.408,0.418,0.34
57,excellent,"Jul 8, 2021", Chief Technology Officer,"New York, NY",5.0,very good place to work,any cons for this company,L'Occitane,0.0,0.0,1.0,0.5719
58,great coworkers for sales lacks muller management,"Jul 4, 2021", Beauty Advisor,"New York, NY",1.0,great coworkers on sales floor gratis every weeks only,upper management lack of communication upper management doesnt help you grow low pay overworks employees,L'Occitane,0.0,0.594,0.406,0.6249
59,christmas casual,"Jun 28, 2021", Christmas Casual,"New York, NY",4.0,lovely environment and stall generally nice customers,not much movement within the store,L'Occitane,0.0,0.357,0.643,0.2023
60,need more frame and strategy,"Jun 16, 2021", Anonymous Employee,"San Francisco, CA",3.0,peopleentreprenarial mission nice offices international leave space for ideas,lack of strategy not professional no carrier path,L'Occitane,0.0,1.0,0.0,0.0
61,still one of my favorite jobs when i look back on it,"Jun 15, 2021", Sales Associate,"San Mateo, CA",5.0,friendly coworkers company has good morals beautiful fragrances and a fun job,no clear path to advancement,L'Occitane,0.0,0.769,0.231,0.4588
62,it depends,"Jun 14, 2021", Sales Associate,"London, England",3.0,some managers and human resources department staff are friendly also we have great discounts for purchasing,my manager always pushes too hard on hardselling and mediocre sales strategies such as following customers around sales number is everything they set sales goal each month and each day even if no one comes into the store they will put the blame on you,L'Occitane,0.0,1.0,0.0,0.0
63,contract hours not enough,"Jun 13, 2021", Senior Sales Associate,"New York, NY",3.0,good pay bonuses and allocations,contracts are not worth it only hrs per week,L'Occitane,0.0,1.0,0.0,0.0
64,great place to work,"Jun 13, 2021", Beauty Advisor,Hong Kong,4.0,its a very easy and fun job boutique style makes product knowledge easy to remember get to make great connection with clients for the most part at least at my location its a loyal team most managers are understanding fun and professional its a great place to work i have worked at several locations in the area many employees including myself have been hear for a few years also i know if i ever wanted to relocate to another state there would be an effort to find me a spot at another boutique,very few opportunities for growth company restructures quite a bit which can be an obstacle when you need to contact corporate for any operational stuff very sales driven with no commission the bonus structure isnt too bad but could be better,L'Occitane,0.0,0.423,0.577,0.6249
65,good company if you can adapt to the culture,"Jun 2, 2021", Assistant Manager,"Chicago, IL",3.0,fast pace learning and adaptability,if youre not interested to take extra miles to work on other assignment or skills,L'Occitane,0.0,0.734,0.266,0.4404
66,friendly environment and lots of learning,"May 22, 2021", Beauty Advisor,Upper Mount Gravatt,4.0,amazing staff gratis and employee discount,minimum pay rate and limited hours,L'Occitane,0.0,0.61,0.39,0.4939
67,good environment,"May 21, 2021", Beauty Advisor,"Toronto, ON",4.0,great people great discount included,not good if youre trying to get promoted to anything higher than a minimum wage part time job,L'Occitane,0.0,0.256,0.744,0.4404
68,if only,"May 19, 2021", Boutique Manager,"Dallas, TX",3.0,the most amazing natural products great team culture,pay rises are rare great managers leave for this reason,L'Occitane,0.0,1.0,0.0,0.0
69,people first company,"May 18, 2021", Store Manager,"Oxford, England",4.0,sales incentives discount gratis a team who cares so much more,room for growth is limited both management level and part time full time level,L'Occitane,0.0,1.0,0.0,0.0
70,locci,"May 16, 2021", ASM- Assistant Store Manager,"Livermore, CA",4.0,great discount great work life balance,there is no opportunity for growth,L'Occitane,0.0,1.0,0.0,0.0
71,great place to work,"May 10, 2021", Senior Sales Associate,"London, England",5.0,great team culture good staff discount and allocation overall good atmosphere,there werent any cons i greatly enjoyed working there,L'Occitane,0.0,0.423,0.577,0.6249
72,great environment to work,"May 9, 2021", Marketing Specialist,Seoul,5.0,flexible working hour location and good people,too much work overloaded tasks,L'Occitane,0.0,0.423,0.577,0.6249
73,consistently a great place to work,"May 1, 2021", Beauty Advisor,Macquarie,5.0,great working culture a small and positive team with clear communications between each departments there are good incentives and bonuses and free products for achieving goals and completing trainings,as a casual short hours is a common occurrence i understand this from the point of view of the company where budget has to be met,L'Occitane,0.0,0.494,0.506,0.6249
74,used to be a good place to work,"Apr 17, 2021", Anonymous Employee,"New York, NY",2.0,good benefits like matching its a good stepping stone to bigger and better opportunities,new leadership is very focused on profit and saving money pays below market teams are very lean and getting leaner hr is ruthless,L'Occitane,0.0,0.674,0.326,0.4404
75,,"Apr 16, 2021", Beauty Advisor,"New York, NY",4.0,flexible hours and friendly environment,no benefits and you have to meet certain store goals,L'Occitane,0.0,0.0,0.0,0.0
76,just so so,"Apr 5, 2021", Sales Associate,"Natick, MA",2.0,cannot really think about what pros,low salary and stand for the whole day,L'Occitane,0.0,1.0,0.0,0.0
77,decent job,"Apr 1, 2021", Store Manager,"New York, NY",4.0,you can run and manage your own business,you do everything on your own little to no corporate support,L'Occitane,0.0,1.0,0.0,0.0
78,great product subpar leadership team,"Mar 31, 2021", Manager,"New York, NY",2.0,most people are kind and easy to work with great products and an easytolove brand story,leadership is lack of vision unable to make any decision and reluctant to implement changes and innovation despite claiming otherwise the company runs on gossip nepotism and favoritism certain teams would hire people theyve previously worked with in other companiesfriends with regardless of their qualification and cultural fit there used to be way more women sitting in roles that are director level or above many of them have unfortunately left and have been replaced by male or someone who previously worked with the ceo compensation is below industry standard with little to no room for growth discussions around career progression are often disregarded or pushed aside due to budget challenges talents and accomplishments often go unnoticed there also has been extremely high turnover in the past year due to massive layoff and toxic work environment created by the leadership team many of those who left are the ones who have worked for the company for years,L'Occitane,0.0,0.494,0.506,0.6249
79,good place to work,"Mar 30, 2021", Boutique Manager,"Perth, Western Australia",4.0,great team good training and products,low starting salary hierarchy doesnt let you make some decisions on a store level,L'Occitane,0.0,0.508,0.492,0.4404
80,peaceful,"Mar 28, 2021", Financial Analyst,Taipei,3.0,good colleagues warm environment and worklife balanced,poor salary and hard to have a promotion,L'Occitane,0.0,0.0,1.0,0.4939
81,,"Mar 25, 2021", Marketing,Geneva,4.0,great colleagues amazing products access to trainings,no career path company strategy changing every two mornings very political,L'Occitane,0.0,0.0,0.0,0.0
82,great to be a parttime employee,"Mar 24, 2021", Part Time Sales Associate,"Scarborough, ON",4.0,nice gratis program get to try and own loccitane products,lots of product knowledge to learn,L'Occitane,0.0,0.494,0.506,0.6249
83,ok place,"Mar 24, 2021", Corporate,"New York, NY",3.0,gratis products benefits ,micromanagement toxic environment no room for growth,L'Occitane,0.0,0.312,0.688,0.296
84,good company to work for,"Mar 16, 2021", Retail Sales Associate,"San Francisco, CA",3.0,generous discount extensive product training flexible shifts,not the best morale no career progression not open to feedback,L'Occitane,0.0,0.58,0.42,0.4404
85,good products and company what i cant say about the management,"Mar 15, 2021", Front Desk Receptionist,"Manchester, England",5.0,clean product samples and lunch is provided by the hotel,poor management skills and time schedule,L'Occitane,0.0,0.756,0.244,0.4404
86,enjoyable experience,"Mar 6, 2021", Retail Sales Associate,"Belgrade, Central Serbia",3.0,friendly teamgood training good location,short contract salary is ok,L'Occitane,0.0,0.256,0.744,0.4404
87,okay job for retail,"Mar 6, 2021", Sales Consultant,"London, England",3.0,payment is above average for retail,too strict selecting process for a job,L'Occitane,0.0,0.612,0.388,0.2263
88,love my job,"Mar 4, 2021", Boutique Manager,"Houston, TX",5.0,great people fantastic training support network,there is nothing to say,L'Occitane,0.0,0.323,0.677,0.6369
89,it wasnt a great experince,"Mar 3, 2021", Beauty Advisor,"Atlanta, GA",2.0,small team gifts and employee discount education on products beautiful aesthetic of the store,the corporate team is extremely overbearing you dont work for commission but they make you feel like it very competitive environment for no reason ive experienced discrimination,L'Occitane,0.523,0.477,0.0,-0.5096
90,great coworkers,"Mar 1, 2021", Seasonal Beauty Advisor,"Orlando, FL",4.0,you get to learn about skin care and all the products that loccitane has to offer i learned a lot about skin care during my short seasonal job and i continue to apply it to my skincare routine met some great coworkers,have to meet certain sale goals,L'Occitane,0.0,0.196,0.804,0.6249
91,great brand and company but unnecessarily stressful and unhealthy,"Mar 1, 2021", Beauty Advisor,"New York, NY",2.0,if your people skills are good you can get more commission higher salary the staff discount is attractive and you get company goods as well,long hours sometimes working up to days straight stand for a minimum of hours ot not consistently paid no worklife balance poor employee welfare not an inclusive company,L'Occitane,0.514,0.341,0.145,-0.8176
92,toxic depending on your department,"Feb 25, 2021", Coordinator,Singapore,1.0,great products and most people are nice,downsizing a lot no proper training condescending and snobby management will get yelled at if you work overtime because they dont want to pay overtime will not give clear timeline on when employees should return to the office during covid barely get promoted within you wont get laid off if youre french,L'Occitane,0.0,1.0,0.0,0.0
93,working,"Feb 23, 2021", Sales Associate,Prague,4.0,great people flexible schedule great training modules,part time so not enough hours if i wanted to work longer during the week,L'Occitane,0.0,1.0,0.0,0.0
94,great community,"Feb 22, 2021", Executive,"London, England",3.0,dynamic learning experience lots of great people to work with,lack of proper welfare for employees,L'Occitane,0.0,0.196,0.804,0.6249
95,great company to work at,"Feb 22, 2021", Digital Marketing Manager,Sydney,5.0,company with great history and philosophy amazing products great team,slow personal development average salaries ,L'Occitane,0.0,0.494,0.506,0.6249
96,bad experience,"Feb 22, 2021", Customer Care Advisor,"New York, NY",2.0,they used to give allocation every month so a few free products but as soon as the pandemic happened they paused this for around months without discussion or explanation of when it would be reintroduced when it was introduced some months i received and some months i didnt but wasnt informed why,the ukireland customer care team is very very small two full timers and three part timers plus two managers throughout the pandemic the level of contact via calls and emails heightened staggeringly as the stores closed even when the stores are open most of the customers are shopping online still as the customers are shielding the customer care team were given almost no support less full time temps than christmas even this has lasted a year so far and the workload is of an unacceptably high level continuously the workload is not sustainable and leads to health problems for the team struggling to keep up and pacify angry customers i advise against applying to this company for a job in this department payroll underpaying is also an issue so you have to keep a very close eye on your payslips,L'Occitane,0.778,0.222,0.0,-0.5423
97,amazing retail job,"Feb 16, 2021", Sales,"New York, NY",5.0,amazing people great work life balance management and company cares about you,none it is a great place to upskill yourself and learn really good sales and retail skills,L'Occitane,0.0,0.345,0.655,0.5859
98,love the company,"Feb 15, 2021", Wholesale Intern,"Washington, DC",5.0,such a good culture and everyone is very collaborative and kind,there are no cons for this company,L'Occitane,0.0,0.323,0.677,0.6369
99,nice to keep it as a job,"Feb 15, 2021", Beauty Consultant,"Aberdeen, Scotland",4.0,free products flexible hours friendly team,low pay sometimes long shifts no benefits for part timers,L'Occitane,0.0,0.641,0.359,0.4215
100,underpaid,"Feb 15, 2021", Assistant Manager,"Good Hope, Optional[AL]",3.0,lovely staff monthly products to try nice environment,no head office communication poorly paid unorganised,L'Occitane,0.0,1.0,0.0,0.0
101,assistant manager,"Feb 14, 2021", Assistant Manager,"Orchard, ",4.0,great team and overall great company to work forexcellent training opportunities,i think retail management positions all in all could be better paid,L'Occitane,0.0,1.0,0.0,0.0
102,amazing,"Feb 10, 2021", Sales Associate,"Seattle, WA",5.0,great quality of life and fun environment,wish pay was a bit more,L'Occitane,0.0,0.0,1.0,0.5859
103,not bad,"Feb 3, 2021", Beauty Advisor/Cashier,"Phoenix, AZ",4.0,if you like helping people this is your job,no recognition for what you do,L'Occitane,0.0,0.26,0.74,0.431
104,ecommerce sales,"Feb 2, 2021", Digital Marketing,Seoul,2.0,have a chance to know about cosmetic,have less opportunity to have cooperation with other teams,L'Occitane,0.0,1.0,0.0,0.0
105,a good place to start your career but then move on,"Feb 1, 2021", Sales Associate,"New York, NY",3.0,free loccitane products and health benefits,under pay their employees unless youre in upper management,L'Occitane,0.0,0.822,0.178,0.2382
106,beware selfish management and corporate,"Jan 29, 2021", Beauty Advisor,"Newark, NJ",1.0,beautiful products nice stores good hours,the pay is very low there is constant changeover and raises and upward mobility must be fought for tooth and nail managers and dms will backstab and play favoritism even after years with the company,L'Occitane,0.437,0.563,0.0,-0.4767
107,great place,"Jan 29, 2021", Support Analyst,"Moscow, Moskva",5.0,friendly environment encourage and supporting colleagues open to any discussions attractive salary and staff benefits,nothing as such hope company maintains same standard and employee expectations,L'Occitane,0.0,0.196,0.804,0.6249
108,shop assistant,"Jan 28, 2021", Shop Assistant,Sydney,4.0,coworkers bonuses ability to try products and use corporate discounts,bearing heavy boxes one of my coworker had health issues and got in hospital division managers are pressing and sometimes use inappropriate words and comments reduce the salary based on a very subjective checklist,L'Occitane,0.0,1.0,0.0,0.0
109,decent,"Jan 21, 2021", Digital Assistant,"London, England",2.0,able to work from home,no progression no teamwork low pay,L'Occitane,0.0,1.0,0.0,0.0
110,nice experience,"Jan 21, 2021", Marketing,"London, England",4.0,i have learned a lot through working there and it was an amazing first professional experience loved the team,i did not find any cons,L'Occitane,0.0,0.263,0.737,0.4215
111,review,"Jan 14, 2021", Assistant Manager,"Atlanta, GA",3.0,great product and ethical values,no growth opportunity or career development,L'Occitane,0.0,1.0,0.0,0.0
112,great working environment,"Jan 13, 2021", Sales Associate,"Burnaby, BC",5.0,i really enjoyed working here,had to meet sales goal,L'Occitane,0.0,0.328,0.672,0.6249
113,wonderful place,"Jan 13, 2021", Store Manager,"London, England",4.0,great place to work and enjoy customers the environment was beautiful,senior management engaged in favoritism,L'Occitane,0.0,0.213,0.787,0.5719
114,good,"Dec 30, 2020", Retail Consultant,Kuala Lumpur,3.0,build customer relationship and team member friendly,need to do commission and tough must have knowledge then only can sell to people,L'Occitane,0.0,0.0,1.0,0.4404
115,its up to management,"Dec 29, 2020", Senior Sales Associate,"Cardiff, Wales",3.0,good what the company does for commitments,horrible managers at cardiff boutique,L'Occitane,0.0,1.0,0.0,0.0
116,good discount,"Dec 28, 2020", Beauty Advisor,"Tulsa, OK",3.0,generous discount on products job itself is very easy,corporate is very unorganized and expects way too much,L'Occitane,0.0,0.256,0.744,0.4404
117,good incentives,"Dec 24, 2020", Prestige Beauty Advisor,"Jacksonville, FL",4.0,gratis with campaign changes off product bonuses,not annual pay rise or very small pay rise even with excellent kpis,L'Occitane,0.0,0.0,1.0,0.6369
118,great company,"Dec 24, 2020", Retail Makeup Artist,"San Francisco, CA",4.0,you get to use their products for free in the store,dealing with karens from time to time as well as they dont offer that many hours,L'Occitane,0.0,0.196,0.804,0.6249
119,,"Dec 22, 2020", Senior Project Manager,Paris,4.0,very nice atsmosphere of work,not a lot of possibility of evolution,L'Occitane,0.0,0.0,0.0,0.0
120,great company to work with,"Dec 14, 2020", Call Center Customer Service Representative,"New York, NY",5.0,definitely a company that takes care of their employees the corporate office is warm and welcoming i think the biggest plus is their amazing products that we were able to sample not to mention their employee discount ,only con would be that i was hired for a temporary position during the holiday season but their holiday sale was amazing and i am so grateful i was able to get all my gifts for the family at an amazing price ,L'Occitane,0.0,0.494,0.506,0.6249
121,good company,"Dec 14, 2020", Marketing Assistant,Hong Kong,5.0,comfortable working environment and nice culture, ,L'Occitane,0.0,0.256,0.744,0.4404
122,family business,"Dec 6, 2020", Product Manager,Paris,2.0,nice people in paris office,family business mostly run by useless heir with no vision or leadership lots of politics not much values,L'Occitane,0.0,1.0,0.0,0.0
123,great company,"Dec 5, 2020", ASM- Assistant Store Manager,"Orlando, FL",4.0,gratis good benefits ,high turn over for upper managements bonus goal is too high,L'Occitane,0.0,0.196,0.804,0.6249
124,unrealistic expectations,"Dec 2, 2020", Sales Associate,"New York, NY",3.0,half the products are great as well as half the staff,theyre all about the money their money and how u can give them more expect to be underpaid and unappreciated they want you to work your butt off sacrifice all your personal time and make it difficult for when you need to break or a day off their selling is very pushy all they want you to sell is the divine cream even to teenagers,L'Occitane,0.0,1.0,0.0,0.0
125,,"Nov 26, 2020", Beauty Advisor,"Toronto, ON",4.0,nice brand good company and benefit,focus on customer service but we dont get commission from customers,L'Occitane,0.0,0.0,0.0,0.0
126,its good,"Nov 23, 2020", Technical Support Representative,Pune,5.0,good site very informative,less option for occupational function,L'Occitane,0.0,0.256,0.744,0.4404
