,Unnamed: 0,language,summary,date,rating,negative,neutral,positive,compound,similarity
20,20,"Roddy responded to my query with honour, honesty, to-the-point relevance, trustworthiness and generosity. He explained that the formula for your shampoo had been changed last year and that it was the change which may have caused the rash on my forehead if I was sensitive to it.  I explained that it was a wonderful shampoo, much appreciated by your customers, and that we would all be wondering why you decided to change the formula of what was in fact a perfect product.",roddy responded to my query with honour honesty tothepoint relevance trustworthiness and generosity he explained that the formula for your shampoo had been changed last year and that it was the change which may have caused the rash on my forehead if i was sensitive to it i explained that it was a wonderful shampoo much appreciated by your customers and that we would all be wondering why you decided to change the formula of what was in fact a perfect product,2022-05-06,5,0.028,0.726,0.246,0.9682,0.89203715
21,21,A very swift resolution to an issue I had with a broken spray on a recently purchased bottle of after shave.   Vivienne was so helpful and extremely quick in sorting out this problem.,a very swift resolution to an issue i had with a broken spray on a recently purchased bottle of after shave vivienne was so helpful and extremely quick in sorting out this problem,2022-05-05,5,0.169,0.677,0.155,-0.132,0.90924764
22,22,Such good service from Roddy at L’Occitane today. He dealt with my issue promptly and to my satisfaction. Thank you.,such good service from roddy at loccitane today he dealt with my issue promptly and to my satisfaction thank you,2022-05-05,5,0.0,0.672,0.328,0.8074,0.9757593
23,23,"Fast, friendly and efficient customer service as always!",fast friendly and efficient customer service as always,2022-05-03,5,0.0,0.5,0.5,0.7184,0.9541615
24,24,Renata replied immediately to my query and resolved the issue promptly. Great customer service!,renata replied immediately to my query and resolved the issue promptly great customer service,2022-05-03,5,0.0,0.674,0.326,0.7003,0.92401636
25,25,"It was my birthday last week and I dropped at L'occitane just to ask if I was to get a small gift and/or discount for my birthday month. There was nothing stated in the system on my name. Then after a week, I realized that my birthday was incorrect in the system and I called Customer Care, where Vivienne replied and she listened about what happened and then tried to solve the problem and guided me in what to do. At the end, I got my free gift with my next order. Thanks to Vivienne for her quality time & support; these little things make a big difference in a customer's loyalty to a brand:)",it was my birthday last week and i dropped at loccitane just to ask if i was to get a small gift andor discount for my birthday month there was nothing stated in the system on my name then after a week i realized that my birthday was incorrect in the system and i called customer care where vivienne replied and she listened about what happened and then tried to solve the problem and guided me in what to do at the end i got my free gift with my next order thanks to vivienne for her quality time  support these little things make a big difference in a customers loyalty to a brand,2022-05-03,5,0.022,0.786,0.192,0.9612,0.9756933
26,26,Vivienne was very helpful and answered my question really quickly. Very friendly response 👌,vivienne was very helpful and answered my question really quickly very friendly response ,2022-05-01,5,0.0,0.616,0.384,0.7814,0.93791723
27,27,Renata in Customer Care was very helpful with all my queries.,renata in customer care was very helpful with all my queries,2022-04-30,5,0.0,0.589,0.411,0.7425,0.9113967
28,28,L'Occitane have a beautiful range of products and their service is excellent. Thank you to Renata for her recent help!,loccitane have a beautiful range of products and their service is excellent thank you to renata for her recent help,2022-04-29,5,0.0,0.54,0.46,0.9153,0.9818256
29,29,Boycotting due to their continued approach to sell in Russia. Shameful.,boycotting due to their continued approach to sell in russia shameful,2022-04-28,5,0.396,0.604,0.0,-0.7096,0.93251956
30,30,24 February 2022 is when the war in Ukraine started it took you all that time to decide to finally stop trading in Russia. How many people had to die before a company decide to take a stand.You have certainly lost me and my family as a customer., february is when the war in ukraine started it took you all that time to decide to finally stop trading in russia how many people had to die before a company decide to take a standyou have certainly lost me and my family as a customer,2022-04-28,5,0.233,0.721,0.046,-0.872,0.9800178
31,31,Decision to carry on selling in Russia is disgusting and pure greed in my opinion. Don't support this company!,decision to carry on selling in russia is disgusting and pure greed in my opinion dont support this company,2022-04-27,1,0.343,0.657,0.0,-0.8104,0.95929635
32,32,"I ordered in good faith from this company only to find that my order - to Ireland- could take weeks to arrive. Had no idea I was ordering from the UK as all prices in euro and nothing to tell me that there would be delays. In addition my order , placed 5 days ago, has not even been dispatched. Customer 'service's recorded voice was  timewasting.  They know how to make shopping for a special item a hassle instead of a pleasure.. Guess they are too busy servicing Russian orders.",i ordered in good faith from this company only to find that my order  to ireland could take weeks to arrive had no idea i was ordering from the uk as all prices in euro and nothing to tell me that there would be delays in addition my order  placed days ago has not even been dispatched customer services recorded voice was timewasting they know how to make shopping for a special item a hassle instead of a pleasure guess they are too busy servicing russian orders,2022-04-18,1,0.024,0.843,0.133,0.872,0.94669044
33,33,Excellent service. I made a mistake with my order and you sorted it without any problem .Thank you  so much.x,excellent service i made a mistake with my order and you sorted it without any problem thank you so muchx,2022-04-15,1,0.184,0.572,0.244,0.3502,0.9608543
34,34,Renata at L'occitane was incredibly quick at replying to my queries and was very helpful,renata at loccitane was incredibly quick at replying to my queries and was very helpful,2022-04-14,1,0.0,0.819,0.181,0.4754,0.93132377
35,35,"Ordering is simple, easy and relaxing.  Products are simply gorgeous,  real luxury. Delivery is swift, products are  well protected in packing.I love L'Occitane products. They're quite special.",ordering is simple easy and relaxing products are simply gorgeous real luxury delivery is swift products are well protected in packingi love loccitane products theyre quite special,2022-04-26,5,0.0,0.441,0.559,0.9722,0.95376897
36,36,I had an issue with some purfume that did not smell right. I was really impressed with the excellent customer service I received. Very quick to respond and sorting out the problem in an timely and efficient manner.,i had an issue with some purfume that did not smell right i was really impressed with the excellent customer service i received very quick to respond and sorting out the problem in an timely and efficient manner,2022-04-07,5,0.062,0.711,0.227,0.8016,0.9635085
37,37,Superb customer service following damage caused in transit. The new products arrived within 2 days in first class condition and I was kept in the loop with regular emails.,superb customer service following damage caused in transit the new products arrived within days in first class condition and i was kept in the loop with regular emails,2022-04-06,5,0.099,0.774,0.127,0.2263,0.9449158
38,38,Highly recommend...,highly recommend,2022-04-05,5,0.0,0.264,0.736,0.4201,0.9040633
39,39,I placed an order for my fabulous aunt but forgot to enter the promo code for a free gift of minis.  I used the chat option and got Vivienne.  Vivienne was awesome and efficient.  My aunt will be very pleased!  I’m a very happy customer…thanks to Vivienne!,i placed an order for my fabulous aunt but forgot to enter the promo code for a free gift of minis i used the chat option and got vivienne vivienne was awesome and efficient my aunt will be very pleased im a very happy customerthanks to vivienne,2022-04-05,5,0.0,0.549,0.451,0.9857,0.92973924
40,40,I asked for some help via an e mail and I am very grateful for the very detailed and helpful response that I received form Sasha.  Very impressed at the detail in helping and guiding me to routine and products.,i asked for some help via an e mail and i am very grateful for the very detailed and helpful response that i received form sasha very impressed at the detail in helping and guiding me to routine and products,2022-04-02,5,0.0,0.679,0.321,0.928,0.8813044
41,41,"Really pleased with the service I received from Loccitane, especially Soni who very quickly sorted out a problem with my order. Very happy.",really pleased with the service i received from loccitane especially soni who very quickly sorted out a problem with my order very happy,2022-04-01,5,0.097,0.645,0.258,0.669,0.9386182
42,42,I placed an order with L'OCCITANE and it did not arrive as it was supposed to. The customer service were super prompt and very efficient in dealing with my issue. Soni gave a great service and satisfactory resolution. The product arrived beautifully presented and will be a great gift. Many thanks,i placed an order with loccitane and it did not arrive as it was supposed to the customer service were super prompt and very efficient in dealing with my issue soni gave a great service and satisfactory resolution the product arrived beautifully presented and will be a great gift many thanks,2022-03-22,5,0.0,0.595,0.405,0.9802,0.9607903
43,43,"While putting through an order to L'Occitane, I omitted to include 3 samples. As L'Occitane products are so good I didn't want to miss out! So I sent an email requesting the samples and it was promptly answered. I was informed samples would be sent separately. Really great efficient service.",while putting through an order to loccitane i omitted to include samples as loccitane products are so good i didnt want to miss out so i sent an email requesting the samples and it was promptly answered i was informed samples would be sent separately really great efficient service,2022-03-22,5,0.027,0.739,0.234,0.9036,0.9592608
44,44,"Have long had a problem with L’Occitane - nice products but over priced and they sometimes change the formulation in the name of “improvement”. Latest gripe is the packaging con, in the name of reducing waste, their Shea butter ultra rich body cream refill has these great big dents in the side. Clearly you get less product than it appears from the outside. This tin replaces the old plastic tub which had the 10mm thick base, again undetectable from the outside. C’mon, L’Occitane, a bit of marketing honesty & integrity please, this is just insulting.",have long had a problem with loccitane  nice products but over priced and they sometimes change the formulation in the name of improvement latest gripe is the packaging con in the name of reducing waste their shea butter ultra rich body cream refill has these great big dents in the side clearly you get less product than it appears from the outside this tin replaces the old plastic tub which had the thick base again undetectable from the outside cmon loccitane a bit of marketing honesty  integrity please this is just insulting,2022-03-21,5,0.082,0.661,0.256,0.9712,0.9752508
45,45,"Je suis fan de vos magasins, toujours tres bien recue",i am a fan of your stores always very well received,2022-03-15,5,0.0,0.599,0.401,0.5709,0.9592054
46,46,"Love their products, but they use to have decent promo codes to use... all you get now is free products that I dont give a --- about.",love their products but they use to have decent promo codes to use all you get now is free products that i dont give a  about,2022-03-14,2,0.0,0.757,0.243,0.7935,0.95309377
47,47,Excellent handcream and shower oil. I wouldn't be without it.,excellent handcream and shower oil i wouldnt be without it,2022-03-09,4,0.0,0.684,0.316,0.5719,0.9373919
48,48,"Went to a store and the staff charged debited me more money instead of issuing a refund. I contacted the customer service via email and they responded within 24 hours and after I send the photos of the receipt, a refund was issued very quickly. The customer service advisers were all very apologetic and I have not come across a service that operates this way, really putting customers first when things didn't go so well. No fuss, and straightforward. So now a loyal customer. And of course it helps when the products themselves are pretty good.",went to a store and the staff charged debited me more money instead of issuing a refund i contacted the customer service via email and they responded within hours and after i send the photos of the receipt a refund was issued very quickly the customer service advisers were all very apologetic and i have not come across a service that operates this way really putting customers first when things didnt go so well no fuss and straightforward so now a loyal customer and of course it helps when the products themselves are pretty good,2022-03-01,2,0.043,0.807,0.15,0.8895,0.9582275
49,49,"The products are amazing I always use them. In January I purchased the immortelle divine set plus others for my friend's birthday. It was saying you receive automatic some samples, a note for my friend and the wrapping it was complementary. Got everything but the samples.Complain about and been told they will send them and it has been more than 2 weeks since then and got nothing. On the phone the women said it is not normal for that to happen but why would I spend around £170 to say that I do not have the samples?? Shame on you.",the products are amazing i always use them in january i purchased the immortelle divine set plus others for my friends birthday it was saying you receive automatic some samples a note for my friend and the wrapping it was complementary got everything but the samplescomplain about and been told they will send them and it has been more than weeks since then and got nothing on the phone the women said it is not normal for that to happen but why would i spend around  to say that i do not have the samples shame on you,2022-02-25,5,0.041,0.871,0.088,0.4019,0.8982456
50,50,"First class products and great customer service. Unbeatable shea butter hand creams, beautiful bath/shower gels & oils. Fabulous perfumes and colognes.All round brilliant service.",first class products and great customer service unbeatable shea butter hand creams beautiful bathshower gels  oils fabulous perfumes and colognesall round brilliant service,2022-02-22,5,0.0,0.495,0.505,0.9607,0.9709163
51,51,My request was quickly answered and the missing product was dispatched to me immediately. Thank you very much!,my request was quickly answered and the missing product was dispatched to me immediately thank you very much,2022-02-19,3,0.106,0.773,0.121,0.0772,0.9703279
52,52,"I received my order without the gift packaging I requested. I was a little annoyed, knowing I would have to send an email, wait for a response over a few times, knowing I wanted the gift packaging for Valentine’s Day in the coming days.The live chat was so helpful! My complaint was resolved within minutes. Prompt and friendly customer service from Betty. I can see why she had five stars ☺️",i received my order without the gift packaging i requested i was a little annoyed knowing i would have to send an email wait for a response over a few times knowing i wanted the gift packaging for valentines day in the coming daysthe live chat was so helpful my complaint was resolved within minutes prompt and friendly customer service from betty i can see why she had five stars ,2022-02-16,5,0.133,0.749,0.118,-0.0172,0.6868286
53,53,"The products are undoubtedly the best but the customer care surpassed my expectations. I accidently purchased the wrong product online. I contacted the customer care team based in the UK, and I spoke to a lovely lady. Apologies, I forget her name.She advised that I could return the product to a store in Dublin. As soon as I gave my name in the store, the staff were prompt and knew exactly what I was returning.and what I wanted. Customer care on the phone and in store were brilliant. Thank you Kind regards",the products are undoubtedly the best but the customer care surpassed my expectations i accidently purchased the wrong product online i contacted the customer care team based in the uk and i spoke to a lovely lady apologies i forget her nameshe advised that i could return the product to a store in dublin as soon as i gave my name in the store the staff were prompt and knew exactly what i was returningand what i wanted customer care on the phone and in store were brilliant thank you kind regards,2022-02-10,5,0.058,0.641,0.301,0.9838,0.98202395
54,54,"Great products. Fantastic online service. Items arrive beautifully presented. Products are just gorgeous.After a recent horrendous experience with Penhaligan's, I shall be buying most of my luxury items from L'Occitane now.Keep it up!",great products fantastic online service items arrive beautifully presented products are just gorgeousafter a recent horrendous experience with penhaligans i shall be buying most of my luxury items from loccitane nowkeep it up,2022-02-10,5,0.09,0.64,0.27,0.8225,0.9639576
55,55,For many years now I have shopped at L'Occtaine and purchased many of their items not for myself but for family and friends. This Christmas I received a lovely L'Occtaine gift bag full of goodies from my friend.  I was even more delighted and quite overwhelmed when I received a box through the post about four days after Christmas. Inside the box was a large shea butter cream and a posh homemade ginger bread man from L'Occtaine.  There was a message attached saying 'Thank you for your support and being one of our best customers'.  This kind gesture proved that L'Occtaine clearly value their customers. So....thank you L'Occtaine. Perhaps other businesses should take a leaf out your book. It's definitely worth signing up to their mailing system in their shop.,for many years now i have shopped at locctaine and purchased many of their items not for myself but for family and friends this christmas i received a lovely locctaine gift bag full of goodies from my friend i was even more delighted and quite overwhelmed when i received a box through the post about four days after christmas inside the box was a large shea butter cream and a posh homemade ginger bread man from locctaine there was a message attached saying thank you for your support and being one of our best customers this kind gesture proved that locctaine clearly value their customers sothank you locctaine perhaps other businesses should take a leaf out your book its definitely worth signing up to their mailing system in their shop,2022-02-09,5,0.0,0.663,0.337,0.9953,0.96328056
56,56,"I have recently placed a few orders with L’Occitane. Both the products and their customer service have surpassed my expectations. I don’t care for creams in general, but now I have started to use their hand and body creams regularly. I will sound like a voice from a tacky commercial, but after one use of their hair mask my dry, damaged and frizzy hair looks like it’s had a professional cut and blow dry. Customer service is top-notch too. They’ve emailed me a few times and especially Betty stood out as an example of exceptional customer care. From the products, to packaging, to lead times, to value for money and to customer service I have to say they are an exceptional company.",i have recently placed a few orders with loccitane both the products and their customer service have surpassed my expectations i dont care for creams in general but now i have started to use their hand and body creams regularly i will sound like a voice from a tacky commercial but after one use of their hair mask my dry damaged and frizzy hair looks like its had a professional cut and blow dry customer service is topnotch too theyve emailed me a few times and especially betty stood out as an example of exceptional customer care from the products to packaging to lead times to value for money and to customer service i have to say they are an exceptional company,2022-01-31,5,0.091,0.802,0.107,0.4843,0.984805
57,57,Excellent service from Mishelline in customer services. Greatly appreciated.,excellent service from mishelline in customer services greatly appreciated,2022-01-23,5,0.0,0.49,0.51,0.807,0.94991267
58,58,"Betty in the Customer Service team has been brilliant since first contacted with a query about an order.She was helpful and communicative, and has worked out a solution for us far better than we had ever hoped. Genuinely 'going the extra mile', which is much appreciated!",betty in the customer service team has been brilliant since first contacted with a query about an ordershe was helpful and communicative and has worked out a solution for us far better than we had ever hoped genuinely going the extra mile which is much appreciated,2022-01-23,5,0.0,0.682,0.318,0.9493,0.9600742
59,59,"Aaliyah is just... fantastic!1. She was incredibly authentic, knowledgable and educational2. She inspired me on so many levels; new self-care approaches both in terms of products but application too3. It truly changed my life! The experience really boosted meAnd finally - virtual execution was perfect - audio, on time! Thank you - keep up the service please!! xx",aaliyah is just fantastic she was incredibly authentic knowledgable and  she inspired me on so many levels new selfcare approaches both in terms of products but application  it truly changed my life the experience really boosted meand finally  virtual execution was perfect  audio on time thank you  keep up the service please xx,2022-01-18,5,0.0,0.678,0.322,0.9678,0.9724632
60,60,"I treated myself to almost the entire range of Almond products last month on a Black Friday special. It took a while to be delivered, but not too long considering that it was a very busy time. My order arrived in a lovely box and was very well packaged. The Almond products are amazing and come in such attractive packaging - so lovely to display in the bathroom :).",i treated myself to almost the entire range of almond products last month on a black friday special it took a while to be delivered but not too long considering that it was a very busy time my order arrived in a lovely box and was very well packaged the almond products are amazing and come in such attractive packaging  so lovely to display in the bathroom ,2022-01-13,5,0.0,0.697,0.303,0.9785,0.98057806
61,61,"I received the L'occitane en Provence blue advent calendar as a present. It is a nice idea to have miniatures of the products to try them out; however, the square shaped bottles are too stiff to get anything out. I needed to squeeze it with both hands (tiny bottle, really dug into my palms as well)- naturally spitting everything out! The small tubes containing handcream are fine and the two soaps in paper bags are lovely. Lait corporeal Verveine Verbena Body Lotion and shower gel however are unusable.",i received the loccitane en provence blue advent calendar as a present it is a nice idea to have miniatures of the products to try them out however the square shaped bottles are too stiff to get anything out i needed to squeeze it with both hands  naturally spitting everything out the small tubes containing handcream are fine and the two soaps in paper bags are lovely lait corporeal verveine verbena body lotion and shower gel however are unusable,2022-01-10,5,0.0,0.896,0.104,0.8126,0.9738065
62,62,"I am a bit of a dinosaur when it comes to making orders online and prefer the comfort of dealing with a human being on the end of a phone - Today I had the great fortune to talk to a very helpful gentleman called Roddy. Nothing was too much trouble for him, he helped me organise my order and delivery to perfection. An absolute superstar and a fantastic credit to L'Occitane. (BTW the products are always AMAZING)",i am a bit of a dinosaur when it comes to making orders online and prefer the comfort of dealing with a human being on the end of a phone  today i had the great fortune to talk to a very helpful gentleman called roddy nothing was too much trouble for him he helped me organise my order and delivery to perfection an absolute superstar and a fantastic credit to loccitane ,2021-12-29,5,0.034,0.715,0.25,0.9509,0.97579956
63,63,I received a gift of a fabulous Advent calendar from my son. Unfortunately there was an error in the packing and it contained duplicated dates. I contacted L'OCCITANE by email and with 24 hours my query had been resolved and missing items despatched to me.The agent (Roddy) was extremely helpful and responsive and may I say proactive in sorting out the glitch. It was a real pleasure to deal with a company that puts the customer first. Well done L'OCCITANE,i received a gift of a fabulous advent calendar from my son unfortunately there was an error in the packing and it contained duplicated dates i contacted loccitane by email and with hours my query had been resolved and missing items despatched to methe agent was extremely helpful and responsive and may i say proactive in sorting out the glitch it was a real pleasure to deal with a company that puts the customer first well done loccitane,2021-12-22,5,0.081,0.668,0.25,0.9344,0.95939314
64,64,Great products...service and customer service when things go wrong....thanks,great productsservice and customer service when things go wrongthanks,2021-12-20,3,0.0,0.661,0.339,0.6249,0.9495928
65,65,"Exceptional customer service from Roddy at L'Occitane who actively responded to an issue and kindly despatched a replacement, immediately.  Superb service and products",exceptional customer service from roddy at loccitane who actively responded to an issue and kindly despatched a replacement immediately superb service and products,2021-12-11,5,0.0,0.664,0.336,0.8625,0.96149194
66,66,"I would like to thank the ladies who made my shopping experience enjoyable at the shop in Truro. The products are gorgeously packaged+good to see a statement that's attentive to our environment, and other ethical issues. Will make a beautiful gift, smells so good !",i would like to thank the ladies who made my shopping experience enjoyable at the shop in truro the products are gorgeously packagedgood to see a statement thats attentive to our environment and other ethical issues will make a beautiful gift smells so good ,2021-12-10,5,0.0,0.574,0.426,0.9735,0.94283515
67,67,"Although the contents of my luxury advent calendar are of the usual high standard, the format of the calendar is exceptionally disappointing.  Instead of a ‘window’ to open, one of four drawers contains a ‘box’ with a daily number on it. No opening to reveal a picture behind and every day is just fumbling with the drawers to find the right number and immediately having the daily item lift out. A total anticlimax.",although the contents of my luxury advent calendar are of the usual high standard the format of the calendar is exceptionally disappointing instead of a window to open one of four drawers contains a box with a daily number on it no opening to reveal a picture behind and every day is just fumbling with the drawers to find the right number and immediately having the daily item lift out a total anticlimax,2021-12-08,5,0.079,0.885,0.036,-0.624,0.9696141
68,68,"Today my daughter and I visited Loccitane shop in the Victoria quarter Leeds and we were served by Sophie. What an absolute treasure she is, Loccitane you are lucky to have such a wonderful person on your team but I’m sure you know. She went out of her way to help, the level of customer service was amazing, the best of the day. We will re visit the shop to purchase again, hopefully from Sophie. All items purchased were gorgeous and gift wrapped for free too. Thankyou Sophie you made our day 🌸",today my daughter and i visited loccitane shop in the victoria quarter leeds and we were served by sophie what an absolute treasure she is loccitane you are lucky to have such a wonderful person on your team but im sure you know she went out of her way to help the level of customer service was amazing the best of the day we will re visit the shop to purchase again hopefully from sophie all items purchased were gorgeous and gift wrapped for free too thankyou sophie you made our day ,2021-12-07,5,0.0,0.66,0.34,0.9916,0.981795
