,voices,date,similarities,compound
0,Social,2021-08-21,0.9521644,0.5574
0,Social,2021-08-18,0.9712055,0.296
0,Social,2021-08-17,0.8901208,0.6249
0,Social,2021-08-12,0.8991029,0.5106
0,Social,2021-08-11,0.78228956,0.5574
0,Social,2021-08-08,0.966037,0.8658
0,Social,2021-08-05,0.96835315,0.7096
0,Social,2021-08-05,0.96835315,0.7096
0,Social,2021-08-05,0.86021876,0.4588
0,Social,2021-08-03,0.9811374,0.8555
0,Social,2021-07-31,0.88058245,0.1531
0,Social,2021-07-29,0.98396903,0.6514
0,Social,2021-07-27,0.967839,0.4588
0,Social,2021-07-26,0.9419271,0.0
0,Social,2021-07-25,0.9727155,0.0
0,Social,2021-07-25,0.8868437,0.7964
0,Social,2021-07-24,0.9645748,0.3182
0,Social,2021-07-24,0.9703725,0.836
0,Social,2021-07-20,0.9631865,0.6908
0,Social,2021-07-19,0.9850975,0.0
0,Social,2021-07-17,0.58733714,0.7096
0,Social,2021-07-16,0.90683955,0.0
0,Social,2021-07-13,0.9247255,0.7845
0,Social,2021-07-11,0.96430576,0.6218
0,Social,2021-07-09,0.9737841,0.8225
0,Social,2021-07-07,0.9714307,0.4939
0,Social,2021-07-05,0.9343592,0.9552
0,Social,2021-07-04,0.9632575,0.9287
0,Social,2021-07-03,0.91966546,0.5859
0,Social,2021-07-02,0.96074605,0.5994
0,Social,2021-06-30,0.86253995,0.6705
0,Social,2021-06-29,0.8199527,0.3182
0,Social,2021-06-27,0.92912346,0.3182
0,Social,2021-06-20,0.9536691,0.9169
0,Social,2021-06-16,0.9720866,-0.1027
0,Social,2021-06-15,0.939198,0.0
0,Social,2021-06-13,0.8824136,0.8658
0,Social,2021-06-12,0.9713125,0.7485
0,Social,2021-06-10,0.87343603,0.7906
0,Social,2021-06-09,0.94658697,0.8225
0,Social,2021-06-08,0.9601668,0.1531
0,Social,2021-06-06,0.8694166,0.7269
0,Social,2021-06-05,0.94808185,0.6436
0,Social,2021-06-03,0.96841073,0.8074
0,Social,2021-06-02,0.9501869,0.9246
0,Social,2021-05-31,0.93357277,0.7717
0,Social,2021-05-30,0.9347272,0.5719
0,Social,2021-05-29,0.9182426,0.7096
0,Social,2021-05-27,0.9647585,0.5719
0,Social,2021-05-26,0.84494007,0.4019
0,Social,2021-05-26,0.96080613,0.802
0,Social,2021-05-25,0.8925717,0.4939
0,Social,2021-05-25,0.90298694,0.0
0,Social,2021-05-25,0.9507493,0.128
0,Social,2021-05-23,0.9738151,0.8126
0,Social,2021-05-22,0.8970857,0.7845
0,Social,2021-05-20,0.80065095,0.0
0,Social,2021-05-19,0.89626276,0.3612
0,Social,2021-05-18,0.9797808,0.7506
0,Social,2021-05-17,0.9633235,0.7613
0,Social,2021-05-15,0.9815263,0.8957
0,Social,2021-05-14,0.9502625,0.1531
0,Social,2021-05-13,0.9465021,-0.1788
0,Social,2021-05-13,0.7856648,0.4588
0,Social,2021-05-09,0.9031738,0.5574
0,Social,2021-05-07,0.97963667,0.7717
0,Social,2021-05-04,0.76414096,-0.6486
0,Social,2021-05-02,0.96854365,0.7845
0,Social,2021-05-01,0.95607555,0.4939
0,Social,2021-04-30,0.95192945,0.4404
0,Social,2021-04-25,0.7668814,0.5423
0,Social,2021-04-24,0.937144,0.3612
0,Social,2021-04-20,0.9722847,0.5574
0,Social,2021-04-18,0.96523154,0.802
0,Social,2021-04-17,0.96497,0.6369
0,Social,2021-04-16,0.97651446,0.8555
0,Social,2021-04-13,0.9654825,0.3182
0,Social,2021-04-12,0.9716923,0.34
0,Social,2021-04-11,0.6956098,0.5719
0,Social,2021-04-09,0.9825787,0.0
0,Social,2021-04-07,0.96657336,0.5719
0,Social,2021-04-05,0.96432596,0.7269
0,Social,2021-04-04,0.94191015,0.7269
0,Social,2021-04-03,0.97299886,0.8126
0,Social,2021-04-03,0.93672043,-0.0772
0,Social,2021-04-03,0.97538984,0.25
0,Social,2021-04-03,0.79886395,-0.101
0,Social,2021-04-03,0.69592583,0.6705
0,Social,2021-04-03,0.9720777,0.6908
0,Social,2021-03-29,0.9622372,0.25
0,Social,2021-03-28,0.98007566,0.8316
0,Social,2021-03-27,0.9035162,-0.296
0,Social,2021-03-24,0.97349423,0.872
0,Social,2021-03-23,0.91597766,0.0
0,Social,2021-03-21,0.95289993,0.7579
0,Social,2021-03-18,0.9827004,0.8934
0,Social,2021-03-18,0.9458051,0.8402
0,Social,2021-03-17,0.97946477,0.5994
0,Social,2021-03-16,0.94488883,-0.5574
0,Social,2021-03-16,0.91366416,0.4939
0,Social,2021-03-15,0.92463607,0.0
0,Social,2021-03-14,0.95613277,0.5719
0,Social,2021-03-13,0.97678375,0.7003
0,Social,2021-03-13,0.9424008,0.6486
0,Social,2021-03-12,0.94878846,-0.2263
0,Social,2021-03-10,0.9809948,0.4939
0,Social,2021-03-08,0.85463214,0.4215
0,Social,2021-03-07,0.9504986,0.0
0,Social,2021-03-05,0.9186359,0.0
0,Social,2021-03-02,0.9700378,0.926
0,Social,2021-03-01,0.93611205,0.8442
0,Social,2021-02-28,0.87819695,0.8625
0,Social,2021-02-27,0.91201687,0.5574
0,Social,2021-02-24,0.94137347,0.4939
0,Social,2021-02-24,0.9542645,0.6486
0,Social,2021-02-22,0.9411218,0.3182
0,Social,2021-02-22,0.9574752,0.4019
0,Social,2021-02-22,0.84258354,0.0
0,Social,2021-02-22,0.9325503,0.4404
0,Social,2021-02-20,0.97139746,0.7845
0,Social,2021-02-19,0.9186358,0.0
0,Social,2021-02-17,0.9703524,0.7845
0,Social,2021-02-15,0.9466661,0.5574
0,Social,2021-02-12,0.952423,0.802
0,Social,2021-02-11,0.97179973,0.6249
0,Social,2021-02-08,0.74355435,0.875
0,Social,2021-02-07,0.716883,0.875
0,Social,2021-02-07,0.9716311,0.8316
0,Social,2021-02-06,0.95107317,0.5719
0,Social,2021-02-04,0.78423965,0.4939
0,Social,2021-02-03,0.9693703,0.5994
0,Social,2021-02-01,0.9184427,0.8519
0,Social,2021-02-01,0.92120206,0.7783
0,Social,2021-01-31,0.96506214,-0.0754
0,Social,2021-01-30,0.97209644,0.128
0,Social,2021-01-26,0.94122344,0.4404
0,Social,2021-01-25,0.70934755,0.25
0,Social,2021-01-24,0.916695,-0.2589
0,Social,2021-01-21,0.9719145,0.8316
0,Social,2021-01-20,0.804843,0.3182
0,Social,2021-01-18,0.8861711,0.6486
0,Social,2021-01-17,0.9545011,0.4404
0,Social,2021-01-15,0.9373019,0.7269
0,Social,2021-01-14,0.7468595,0.0
0,Social,2021-01-12,0.9602741,0.25
0,Social,2021-01-12,0.92912585,0.802
0,Social,2021-01-11,0.9244765,0.296
0,Social,2021-01-09,0.96519136,0.4404
0,Social,2021-01-08,0.94921863,0.4939
0,Social,2021-01-08,0.9838263,0.7906
0,Social,2021-01-07,0.9530322,0.4767
0,Social,2021-01-05,0.95458615,0.5213
0,Social,2021-01-02,0.97595567,0.0
0,Social,2021-01-01,0.9740994,0.9287
0,Social,2020-12-31,0.96960247,0.8126
0,Social,2020-12-27,0.97366,0.7184
0,Social,2020-12-26,0.9851861,0.7076
0,Social,2020-12-25,0.9837663,0.9542
0,Social,2020-12-22,0.9564335,0.9413
0,Social,2020-12-18,0.7457138,0.8885
0,Social,2020-12-17,0.947677,0.8555
0,Social,2020-12-15,0.95315236,0.6124
0,Social,2020-12-14,0.8926827,0.4215
0,Social,2020-12-12,0.7771627,0.0
0,Social,2020-12-10,0.94761574,0.9313
0,Social,2020-12-08,0.9531524,0.6124
0,Social,2020-12-07,0.950896,0.4629
0,Social,2020-12-07,0.9154252,0.3182
0,Social,2020-12-05,0.9796854,0.6486
0,Social,2020-12-04,0.78093064,0.8126
0,Social,2020-12-03,0.9826709,0.8934
0,Social,2020-12-02,0.9062474,0.7096
0,Social,2020-12-01,0.8551794,0.8271
0,Social,2020-12-01,0.9733087,0.6808
0,Social,2020-12-01,0.9606701,0.6705
0,Social,2020-11-30,0.92292994,-0.296
0,Social,2020-11-30,0.73534024,0.5719
0,Social,2020-11-28,0.975219,0.3818
0,Social,2020-11-28,0.87514997,0.8126
0,Social,2020-11-27,0.9798517,0.8225
0,Social,2020-11-26,0.9760836,0.6808
0,Social,2020-11-25,0.9304715,0.6705
0,Social,2020-11-25,0.962252,0.5029
0,Social,2020-11-25,0.85883945,0.7003
0,Social,2020-11-24,0.9508193,0.5994
0,Social,2020-11-24,0.9482621,0.8074
0,Social,2020-11-23,0.9776286,0.0772
0,Social,2020-11-20,0.9767828,0.4404
0,Social,2020-11-20,0.90666366,0.5994
0,Social,2020-11-19,0.9014102,0.7003
0,Social,2020-11-19,0.8319726,0.8615
0,Social,2020-11-18,0.9674257,0.6808
0,Social,2020-11-17,0.96832824,0.7269
0,Social,2020-11-17,0.95492554,0.6124
0,Social,2020-11-16,0.8435673,0.3612
0,Social,2020-11-15,0.9605882,0.6908
0,Social,2020-11-14,0.9087333,0.6249
0,Social,2020-11-12,0.8283435,0.0
0,Social,2020-11-12,0.8185737,0.5574
0,Social,2020-11-11,0.9589624,0.8519
0,Social,2020-11-10,0.96657884,0.5687
0,Social,2020-11-10,0.95530975,0.8245
0,Social,2020-11-10,0.9581151,0.6369
0,Social,2020-11-09,0.9767642,0.2732
0,Social,2020-11-07,0.95654196,0.5232
0,Social,2020-11-06,0.94848764,0.891
0,Social,2020-11-06,0.82644045,0.4404
0,Social,2020-11-04,0.79518014,0.3818
0,Social,2020-11-04,0.9796449,0.4404
0,Social,2020-11-02,0.92259467,0.8176
0,Social,2020-11-01,0.83481634,0.765
0,Social,2020-10-31,0.97287846,0.8555
0,Social,2020-10-31,0.9325651,0.4215
0,Social,2020-10-30,0.9628271,0.7506
0,Social,2020-10-29,0.94877625,-0.0772
0,Social,2020-10-29,0.93411314,0.4939
0,Social,2020-10-29,0.9507038,0.0258
0,Social,2020-10-29,0.95347774,0.3612
0,Social,2020-10-29,0.9161267,0.3612
0,Social,2020-10-29,0.8837618,0.0516
0,Social,2020-10-29,0.965729,0.296
0,Social,2020-10-28,0.6891892,0.4404
0,Social,2020-10-26,0.9713148,0.2716
0,Social,2020-10-25,0.9231894,0.9118
0,Social,2020-10-22,0.7347892,0.4588
0,Social,2020-10-21,0.9368843,0.4106
0,Social,2020-10-21,0.97501194,0.6808
0,Social,2020-10-20,0.864676,0.7717
0,Social,2020-10-20,0.9458153,0.8934
0,Social,2020-10-20,0.9774153,-0.3412
0,Social,2020-10-20,0.86056834,0.0
0,Social,2020-10-20,0.946087,0.6369
0,Social,2020-10-19,0.84118676,0.4404
0,Social,2020-10-19,0.75135213,0.1779
0,Social,2020-10-19,0.95516527,0.5106
0,Social,2020-10-18,0.98369235,0.9032
0,Social,2020-10-17,0.97211295,0.4019
0,Social,2020-10-16,0.889161,-0.1531
0,Social,2020-10-15,0.95427084,0.6369
0,Social,2020-10-14,0.9748478,0.5413
0,Social,2020-10-13,0.9812095,0.936
0,Social,2020-10-12,0.94936067,0.5994
0,Social,2020-10-11,0.9283085,0.9509
0,Social,2020-10-09,0.8696258,-0.34
0,Social,2020-10-08,0.9590256,0.6486
0,Social,2020-10-08,0.9346125,0.5994
0,Social,2020-10-06,0.8873341,0.7964
0,Social,2020-10-03,0.8670355,0.8807
0,Social,2020-10-03,0.90120137,0.4588
0,Social,2020-10-03,0.90537715,0.7964
0,Social,2020-10-03,0.92720723,-0.4215
0,Social,2020-10-02,0.95249414,-0.0772
0,Social,2020-10-02,0.88394433,0.6249
0,Social,2020-10-01,0.9803851,0.8402
0,Social,2020-09-30,0.9876587,0.5859
0,Social,2020-09-29,0.97003543,0.8834
0,Social,2020-09-28,0.85311574,0.4106
0,Social,2020-09-27,0.97325623,0.2023
0,Social,2020-09-25,0.9702215,0.6597
0,Social,2020-09-22,0.87200654,0.4404
0,Social,2020-09-21,0.9627366,0.6908
0,Social,2020-09-21,0.9722663,0.5279
0,Social,2020-09-21,0.9520251,0.0
0,Social,2020-09-19,0.91627073,0.6124
0,Social,2020-09-17,0.81490254,0.7906
0,Social,2020-09-17,0.977668,0.3818
0,Social,2020-09-17,0.92111254,0.5574
0,Social,2020-09-16,0.9279269,0.7269
0,Social,2020-09-14,0.966449,0.9102
0,Social,2020-09-13,0.96618176,0.5423
0,Social,2020-09-11,0.9726474,0.9147
0,Social,2020-09-11,0.9179995,0.8658
0,Social,2020-09-11,0.9239204,0.7269
0,Social,2020-09-11,0.97670484,-0.0772
0,Social,2020-09-10,0.85747254,0.765
0,Social,2020-09-10,0.8393084,-0.1513
0,Social,2020-09-10,0.9386603,0.8605
0,Social,2020-09-10,0.9733859,0.0
0,Social,2020-09-09,0.9785167,0.0772
0,Social,2020-09-08,0.7696787,0.4404
0,Social,2020-09-08,0.9858346,0.6808
0,Social,2020-09-07,0.97072154,0.6731
0,Social,2020-09-07,0.95376253,0.6369
0,Social,2020-09-04,0.95912415,0.0
0,Social,2020-09-04,0.8973772,0.0
0,Social,2020-09-04,0.8759786,0.5423
0,Social,2020-09-03,0.9551079,0.6369
0,Social,2020-09-03,0.967272,0.7506
0,Social,2020-09-03,0.95313,0.874
0,Social,2020-09-03,0.9322467,0.4503
0,Social,2020-09-03,0.975695,0.891
0,Social,2020-09-02,0.93383926,0.4404
0,Social,2020-09-01,0.9111558,0.6705
0,Social,2020-09-01,0.9581776,0.4404
0,Social,2020-08-31,0.9612876,0.6597
0,Social,2020-08-27,0.6920382,0.5106
0,Social,2020-08-25,0.8164781,0.4537
0,Social,2020-08-24,0.95587623,0.1779
0,Social,2020-08-24,0.98318315,0.296
0,Social,2020-08-24,0.87588286,0.4404
0,Social,2020-08-24,0.95103216,0.5709
0,Social,2020-08-23,0.9596587,0.3612
0,Social,2020-08-22,0.9583668,0.4019
0,Social,2020-08-21,0.94228876,0.872
0,Social,2020-08-19,0.89873016,0.6731
0,Social,2020-08-19,0.9234077,-0.4215
0,Social,2020-08-19,0.8951326,0.8519
0,Social,2020-08-19,0.9709923,0.8972
0,Social,2020-08-19,0.9821317,0.4939
0,Social,2020-08-19,0.92705035,0.9062
0,Social,2020-08-17,0.95879394,0.7096
0,Social,2020-08-17,0.82588404,0.4939
0,Social,2020-08-17,0.8873644,0.0
0,Social,2020-08-17,0.95775783,0.1695
0,Social,2020-08-16,0.85233015,0.2732
0,Social,2020-08-14,0.7506952,0.4404
0,Social,2020-08-14,0.95796853,0.8042
0,Social,2020-08-14,0.9717891,0.8902
0,Social,2020-08-14,0.9454289,0.0
0,Social,2020-08-13,0.9269464,0.4404
0,Social,2020-08-13,0.9459044,0.6731
0,Social,2020-08-13,0.7696793,0.4404
0,Social,2020-08-13,0.97038376,0.0
0,Social,2020-08-13,0.91719973,0.9389
0,Social,2020-08-13,0.90908,0.571
0,Social,2020-08-12,0.9613359,0.0
0,Social,2020-08-11,0.8543295,0.5574
0,Social,2020-08-11,0.8907813,0.128
0,Social,2020-08-11,0.9765828,0.0
0,Social,2020-08-11,0.9300394,0.4404
0,Social,2020-08-11,0.81328404,0.5994
0,Social,2020-08-10,0.94217205,0.128
0,Social,2020-08-09,0.90531915,0.0
0,Social,2020-08-08,0.9428934,0.4019
0,Social,2020-08-07,0.9579883,-0.1779
0,Social,2020-08-07,0.9607725,-0.296
0,Social,2020-08-06,0.9806998,0.0
0,Social,2020-07-31,0.84554154,0.0
0,Social,2020-07-30,0.80265784,0.7906
0,Social,2020-07-30,0.9166498,-0.0772
0,Social,2020-07-28,0.8266458,0.7096
0,Social,2020-07-27,0.9771629,0.8902
0,Social,2020-07-27,0.9041623,0.7964
0,Social,2020-07-27,0.94240224,0.6229
0,Social,2020-07-26,0.94896334,0.8316
0,Social,2020-07-24,0.9701849,0.7506
0,Social,2020-07-23,0.95070124,0.6705
0,Social,2020-07-22,0.89273095,0.5267
0,Social,2020-07-22,0.90215087,-0.296
0,Social,2020-07-21,0.9755843,0.4939
0,Social,2020-07-21,0.9393475,0.1796
0,Social,2020-07-21,0.9277959,0.0772
0,Social,2020-07-20,0.8533394,0.5719
0,Social,2020-07-20,0.9025615,-0.4795
0,Social,2020-07-20,0.96272457,0.9089
0,Social,2020-07-20,0.93055326,0.3818
0,Social,2020-07-19,0.94650376,0.7845
0,Social,2020-07-17,0.8167564,-0.3818
0,Social,2020-07-16,0.93321884,-0.2263
0,Social,2020-07-16,0.924126,-0.0772
0,Social,2020-07-16,0.77186286,0.4404
0,Social,2020-07-15,0.9700185,0.6945
0,Social,2020-07-15,0.86204773,0.1027
0,Social,2020-07-13,0.9735424,0.0
0,Social,2020-07-13,0.8418335,0.7783
0,Social,2020-07-13,0.76967907,0.4404
0,Social,2020-07-13,0.94478303,0.5719
0,Social,2020-07-13,0.9371885,0.6731
0,Social,2020-07-13,0.9478487,0.6731
0,Social,2020-07-11,0.9409155,0.0
0,Social,2020-07-10,0.8853302,0.0
0,Social,2020-07-10,0.96843153,0.0258
0,Social,2020-07-10,0.97694325,0.5719
0,Social,2020-07-09,0.7696793,0.4404
0,Social,2020-07-09,0.6994139,0.3612
0,Social,2020-07-09,0.9382088,-0.0772
0,Social,2020-07-07,0.9694625,0.6731
0,Social,2020-07-06,0.93179965,0.128
0,Social,2020-07-06,0.9336873,-0.34
0,Social,2020-07-06,0.9673175,0.0
0,Social,2020-07-05,0.9670174,0.6597
0,Social,2020-07-04,0.9236867,0.6124
0,Social,2020-07-02,0.97749734,0.9325
0,Social,2020-06-29,0.85156256,0.3182
0,Social,2020-06-29,0.97829235,-0.0772
0,Social,2020-06-29,0.88124335,0.4939
0,Social,2020-06-28,0.9738555,0.4749
0,Social,2020-06-27,0.9760181,0.8126
0,Social,2020-06-26,0.78127533,0.296
0,Social,2020-06-24,0.7696793,0.4404
0,Social,2020-06-23,0.9795699,0.5994
0,Social,2020-06-22,0.94706774,0.3612
0,Social,2020-06-22,0.9168754,0.7845
0,Social,2020-06-22,0.86816174,0.3237
0,Social,2020-06-22,0.9648031,0.4215
0,Social,2020-06-21,0.9844089,0.8126
0,Social,2020-06-20,0.95695186,0.0772
0,Social,2020-06-19,0.9802424,0.5106
0,Social,2020-06-18,0.9859458,0.0
0,Social,2020-06-17,0.8127426,0.4404
0,Social,2020-06-17,0.94852084,0.5594
0,Social,2020-06-16,0.87841785,0.25
0,Social,2020-06-16,0.9028668,0.6731
0,Social,2020-06-15,0.95888597,0.5106
0,Social,2020-06-15,0.7582655,0.3237
0,Social,2020-06-15,0.8723521,0.8591
0,Social,2020-06-15,0.7696793,0.4404
0,Social,2020-06-15,0.9794819,0.4404
0,Social,2020-06-14,0.97673273,0.0
0,Social,2020-06-12,0.55709136,0.0
0,Social,2020-06-11,0.8883828,0.8555
0,Social,2020-06-10,0.8934817,0.1139
0,Social,2020-06-09,0.91613156,0.8689
0,Social,2020-06-09,0.92380786,0.2263
0,Social,2020-06-09,0.97656965,0.0
0,Social,2020-06-09,0.96731764,0.0
0,Social,2020-06-09,0.83152294,0.6908
0,Social,2020-06-08,0.93295074,0.5638
0,Social,2020-06-06,0.971264,0.0
0,Social,2020-06-05,0.9695008,0.5719
0,Social,2020-06-04,0.97781354,0.9661
0,Social,2020-06-03,0.9766255,-0.34
0,Social,2020-06-03,0.9657978,0.0
0,Social,2020-06-03,0.7805403,0.0
0,Social,2020-06-03,0.9504592,-0.4939
0,Social,2020-06-02,0.9492066,0.0258
0,Social,2020-06-01,0.8045095,0.2263
0,Social,2020-05-30,0.97114915,0.0772
0,Social,2020-05-27,0.9421351,0.0
0,Social,2020-05-25,0.98504156,0.25
0,Social,2020-05-23,0.95484537,-0.6114
0,Social,2020-05-21,0.86485565,0.6731
0,Social,2020-05-20,0.970861,0.2732
0,Social,2020-05-14,0.96080595,0.8402
0,Social,2020-05-13,0.92934656,0.9435
0,Social,2020-05-11,0.96605366,0.5849
0,Social,2020-05-09,0.9536913,0.8126
0,Social,2020-05-05,0.9823123,0.3869
0,Social,2020-05-01,0.97202027,0.4019
0,Social,2020-04-30,0.9502691,0.6705
0,Social,2020-04-29,0.9578755,0.7964
0,Social,2020-04-27,0.9641398,0.7717
0,Social,2020-04-25,0.95374346,0.4404
0,Social,2020-04-23,0.96596974,0.8481
0,Social,2020-04-22,0.93407726,0.128
