,index,Unnamed: 0,brand,id,created_at,text,likes,in reply to,retweeted,nb_words,text_len,subjectivity,polarity,negative,neutral,positive,compound,similarity
15,15,15,LOCCITANE_UK,1504125348845215747,2022-03-16 16:00:03,our limited edition delicate shea collection is lightly whipped into an airy formula it gently melts into the hand ,4,,False,19,115,0.6357142857142857,0.0571428571428571,0.078,0.617,0.305,0.6705,0.68481
16,16,16,LOCCITANE_UK,1504103959228678144,2022-03-16 14:35:03, bonjour were sorry to see your feedback as we explained our containers are not dishwasher safe our bott ,0,A2eGx,False,18,105,0.75,0.0,0.188,0.812,0.0,-0.4031,0.9497696
17,17,17,LOCCITANE_UK,1503053279361527809,2022-03-13 17:00:01,however you like to enjoy some time to unwind reset your week with some selfcare this sunday ,3,,False,17,93,0.5,0.4,0.0,0.725,0.275,0.6908,0.92991495
18,18,18,LOCCITANE_UK,1502675806924914689,2022-03-12 16:00:05,fancy some weekend baking inspired by our rose jasmin collection see laurens tasty jasmine tea rose cupcakes ,8,,False,17,109,0.95,0.6,0.0,0.833,0.167,0.4939,0.964502
19,19,19,LOCCITANE_UK,1502313421739474945,2022-03-11 16:00:06,celebrate the mothering figure in your life and discover a variety of gifts shes guaranteed to love from skincare ,5,,False,19,114,0.6,0.5,0.0,0.669,0.331,0.836,0.97528255
20,20,20,LOCCITANE_UK,1501951037636108298,2022-03-10 16:00:06,our teams top desert island picks we asked our team here at loccitane head office which desert island produc ,3,,False,19,109,0.5,0.5,0.0,0.909,0.091,0.2023,0.8795465
21,21,21,LOCCITANE_UK,1501588633085566977,2022-03-09 16:00:02,discover the blooms of provence with our loccitane x bespoke baby flower bouquet claim online ,4,,False,15,94,0.0,0.0,0.0,1.0,0.0,0.0,0.9730861
22,22,22,LOCCITANE_UK,1500863867290734594,2022-03-07 16:00:05,were dreaming of a sunny afternoon spent in provence where are you dreaming of being this monday comment down ,7,,False,19,110,0.1944444444444444,-0.1277777777777778,0.0,0.859,0.141,0.4215,0.87486094
23,23,23,LOCCITANE_UK,1500836606034411523,2022-03-07 14:11:45, ,1,mariajastrz,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.80065095
24,24,24,LOCCITANE_UK,1500836543837065226,2022-03-07 14:11:30, ,1,womensaid,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8006513
25,25,25,LOCCITANE_UK,1500501468486451201,2022-03-06 16:00:02,if you could only ever use one loccitane body cream what would be it let us know in the comments shop our bo ,3,,False,23,109,1.0,0.0,0.0,1.0,0.0,0.0,0.8858566
26,26,26,LOCCITANE_UK,1500139077730926599,2022-03-05 16:00:02,we love this stunning watercolour painting of our lavender ingredient lavender has been part of the loccitane ,4,,False,17,110,0.8,0.5,0.0,0.676,0.324,0.802,0.95191133
27,27,27,LOCCITANE_UK,1499776703073189891,2022-03-04 16:00:05,its time to experience the fruity and floral scent of cherry blossom shop here ,6,,False,14,79,0.0,0.0,0.0,1.0,0.0,0.0,0.9029391
28,28,28,LOCCITANE_UK,1499414304545595394,2022-03-03 16:00:02,exciting news our mothers day gifts are now available make this mothering sunday special by celebrating and empo ,2,,False,18,113,0.5904761904761905,0.3523809523809524,0.0,0.61,0.39,0.8625,0.9778242
29,29,29,LOCCITANE_UK,1498327136792289287,2022-02-28 16:00:01,pamper your skin ready for the week ahead this maskmonday todays pick our purifying face mask shop here ,2,,False,18,104,0.5,0.2,0.0,0.872,0.128,0.3612,0.96484876
30,30,30,LOCCITANE_UK,1497964754496733190,2022-02-27 16:00:02,treat your hands to a little tlc today with our youth hand cream shop here ,3,,False,15,75,0.5,-0.1875,0.0,0.67,0.33,0.7096,0.946719
31,31,31,LOCCITANE_UK,1497602365095964674,2022-02-26 16:00:02,we love this cute photo from our regent street flagship store will you be visiting us instore soon let us know ,7,,False,21,111,0.8,0.5,0.0,0.664,0.336,0.8442,0.96517134
32,32,32,LOCCITANE_UK,1497239979134644224,2022-02-25 16:00:03,our favourite part of the day when we can unwind with a candle and have a cuppa what is your top tip for relaxing ,4,,False,24,114,0.5,0.5,0.0,0.8,0.2,0.6124,0.9149195
33,33,33,LOCCITANE_UK,1496518475522605056,2022-02-23 16:13:03, ,0,jiteenahmed,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.80065143
34,34,34,LOCCITANE_UK,1496152830834470912,2022-02-22 16:00:06,discover herbae clary sage our latest addition to the herbae collection experience the aromatic green and invigo ,4,,False,17,113,0.6,0.15,0.0,1.0,0.0,0.0,0.97354496
35,35,35,LOCCITANE_UK,1495428034916020225,2022-02-20 16:00:01,did you know today is lovepetday we would love to see your pet photos dont forget to tag us ,7,,False,19,92,0.6,0.5,0.0,0.743,0.257,0.7065,0.9705839
36,36,36,LOCCITANE_UK,1495065650439417859,2022-02-19 16:00:02,experience loccitan an elegant and luxurious eau de toilette with base notes of tonka bean blended nutmeg and pep ,1,,False,19,114,1.0,-0.15,0.0,0.853,0.147,0.4767,0.97483385
37,37,37,LOCCITANE_UK,1494703281808965632,2022-02-18 16:00:07,say yes to nourished and healthy hair thanks to our intense repair haircare routine shop here ,5,,False,16,94,0.5666666666666667,0.3,0.0,0.556,0.444,0.8225,0.9670342
38,38,38,LOCCITANE_UK,1493978406072958984,2022-02-16 15:59:43,did you know today is almond day to celebrate indulge in this comforting and mouthwatering scent shop our al ,6,,False,19,109,0.0,0.0,0.0,0.714,0.286,0.7798,0.96346325
39,39,39,LOCCITANE_UK,1493616096208822272,2022-02-15 16:00:02,whos ready to travel this summer were imagining being transported to a lavender field in the provence region br ,3,,False,19,112,0.5,0.2,0.0,0.872,0.128,0.3612,0.8666099
40,40,40,LOCCITANE_UK,1492891330887884808,2022-02-13 16:00:04,how beautiful is our limited edition delicate shea range a delicate comforting twist on our classic shea ran ,9,,False,18,109,0.6219047619047618,0.069047619047619,0.083,0.524,0.393,0.7269,0.858141
41,41,41,LOCCITANE_UK,1492528944268017671,2022-02-12 16:00:04,struggling to find the perfect gift for him we have a luxurious selection of gifts for men all beautifully gif ,3,,False,20,111,1.0,0.925,0.1,0.534,0.367,0.8176,0.76389766
42,42,42,LOCCITANE_UK,1491804158965387268,2022-02-10 16:00:02,last christmas we partnered with and because we believe that everyone has a r ,4,,False,14,78,0.0666666666666666,0.0,0.0,1.0,0.0,0.0,0.95606935
43,43,43,LOCCITANE_UK,1491441770810413057,2022-02-09 16:00:02,our multibenefits cade hand cream is perfect for restoring your skins moisture barrier after exposure to external ,1,,False,17,114,0.55,0.5,0.064,0.551,0.386,0.8225,0.85066324
44,44,44,LOCCITANE_UK,1490354607649792002,2022-02-06 16:00:02,how wonderful does this display look in our regent street flagship store we collaborated with the awardwinning fl ,8,,False,18,114,1.0,1.0,0.0,0.758,0.242,0.6249,0.9282776
45,45,45,LOCCITANE_UK,1489992222455975940,2022-02-05 16:00:03,how about a treat for your skin with our purifying face mask or fill your room with a blend of cypress thyme euc ,2,,False,23,113,0.0,0.0,0.0,0.881,0.119,0.4019,0.83231765
46,46,46,LOCCITANE_UK,1489629829959806979,2022-02-04 16:00:02,introducing our new delicately fresh elegant and floral rose jasmin range with tones of citrus jasmine magnol ,5,,False,17,110,0.7261363636363636,0.384090909090909,0.0,0.654,0.346,0.7506,0.96946144
47,47,47,LOCCITANE_UK,1489267443214086155,2022-02-03 16:00:02,our awardwinning almond shower oil is an ideal alternative to typical shower gels and is kind to even the most del ,4,,False,21,115,0.725,0.4583333333333333,0.0,0.736,0.264,0.7783,0.9825472
48,48,48,LOCCITANE_UK,1488884268579254273,2022-02-02 14:37:26, hi giles you can unsubscribe to our mailing list to stop receiving paper mailers we are currently ,0,gilesgiggins,False,17,99,0.4,0.0,0.121,0.879,0.0,-0.296,0.9282766
49,49,49,LOCCITANE_UK,1488837177131757574,2022-02-02 11:30:18, this is the page on our website where you can submit a request to us ive teste ,0,sjoh0050,False,17,80,0.0,0.0,0.0,1.0,0.0,0.0,0.8083197
50,50,50,LOCCITANE_UK,1488805867365355521,2022-02-02 09:25:54, hi im sure this must be a technical glitch please do get in touch with customer care on ,0,Mossflorist,False,18,89,0.4944444444444444,0.25,0.0,0.642,0.358,0.7783,0.92226386
51,51,51,LOCCITANE_UK,1488542668607012866,2022-02-01 16:00:02,our unique immortelle divine light cream spf shown here by reminding us of the importance of w ,3,,False,17,95,0.85,0.3875,0.0,0.697,0.303,0.7269,0.7322506
52,52,52,LOCCITANE_UK,1488497082436521985,2022-02-01 12:58:54, hi irene our glasgow store will be closed temporarily for a renovation theyll be open again on march ,0,ir3n3mcm,False,18,102,0.3,-0.05,0.0,1.0,0.0,0.0,0.95535254
53,53,53,LOCCITANE_UK,1488496539508957187,2022-02-01 12:56:44, hi gordon sorry to hear youre having trouble getting in touch with customer care you can email your qu ,0,sjoh0050,False,19,104,0.6,-0.35,0.172,0.69,0.138,0.0516,0.85236394
54,54,54,LOCCITANE_UK,1488180284273037314,2022-01-31 16:00:03,our wonderful shea collection on display in store the collection includes a range of deeply softening organic and ,4,,False,18,114,0.7,0.5,0.0,0.812,0.188,0.5719,0.9712484
55,55,55,LOCCITANE_UK,1487817893454569473,2022-01-30 16:00:02,our awardwinning immortelle collection is infused with this organic essential luscious oil offering supplene ,2,,False,14,109,0.3,0.0,0.0,1.0,0.0,0.0,0.881249
56,56,56,LOCCITANE_UK,1487455503697395717,2022-01-29 16:00:02,our creamy base ultra rich body scrub offers gentle yet effective exfoliation enriched with shea butter apricot ,3,,False,17,112,0.6699999999999999,0.0949999999999999,0.0,0.593,0.407,0.8625,0.9419285
57,57,57,LOCCITANE_UK,1487093123813556224,2022-01-28 16:00:04,pawfectly posed alongside our almond milky bath cream delightful body balm we dont know which we love more ,4,,False,18,107,0.7000000000000001,0.6666666666666666,0.0,0.667,0.333,0.8402,0.92111343
58,58,58,LOCCITANE_UK,1486730731069972481,2022-01-27 16:00:03,how lovely does our bath boutique look at the moment if youre in bath this week why not pop in and a pay the tea ,5,,False,25,113,0.75,0.5,0.051,0.809,0.14,0.5267,0.9401254
59,59,59,LOCCITANE_UK,1486368352209551364,2022-01-26 16:00:05,thank you for our lovely review we couldnt have said it better ourselves follow the link to shop ou ,1,,False,19,100,0.625,0.5,0.0,0.635,0.365,0.8481,0.86869377
60,60,60,LOCCITANE_UK,1486005956534157312,2022-01-25 16:00:03,need some inspiration for veganuary try our vegan potato omelette head over to our instagram for the recipe ,1,,False,18,108,0.0,0.0,0.0,0.833,0.167,0.5267,0.94260037
61,61,61,LOCCITANE_UK,1485643568140091395,2022-01-24 16:00:03,infused with shea butter our ultra rich body cream locks in moisture and keeps the skin supple and nourished for l ,5,,False,21,115,0.75,0.375,0.0,0.841,0.159,0.5574,0.7876318
62,62,62,LOCCITANE_UK,1485190578883031042,2022-01-23 10:00:02,sundays are the perfect time to reset your mind and restore your wellbeing why not take some time out of your da ,3,,False,22,113,1.0,1.0,0.0,0.772,0.228,0.7096,0.8870316
63,63,63,LOCCITANE_UK,1484828197044699139,2022-01-22 10:00:03,we have pledged to make of our bottles out of recycled plastic make of our plastic packaging r ,3,,False,18,95,0.0,0.0,0.0,1.0,0.0,0.0,0.97546893
64,64,64,LOCCITANE_UK,1484148719238877189,2022-01-20 13:00:03,we are pleased to share that we have become a patron of the british beauty council a group supporting the creative ,1,,False,21,115,0.5625,0.3125,0.0,0.488,0.512,0.9287,0.9563084
65,65,65,LOCCITANE_UK,1483083131880046593,2022-01-17 14:25:47, hi anthea please dm us your preferred delivery address so that we can send you a new one ,0,AntheaBarteau,False,18,90,0.4545454545454545,0.1363636363636363,0.0,0.874,0.126,0.3182,0.9005333
66,66,66,LOCCITANE_UK,1482653867305156608,2022-01-16 10:00:02,how will you be spending this selfcaresunday our almond collection will help you to unwind after a busy weekend ,3,,False,19,112,0.3,0.1,0.0,0.863,0.137,0.4019,0.68136436
67,67,67,LOCCITANE_UK,1481929088386453510,2022-01-14 10:00:02,happy friday everyone make sure you take a moment for yourself this weekend we think lighting our uplifting candl ,5,,False,19,114,0.9444444444444444,0.65,0.0,0.727,0.273,0.7184,0.9693686
68,68,68,LOCCITANE_UK,1481615690482081796,2022-01-13 13:14:42, your comments are important to us and we will pass them on to our production team for their consideration ,0,bassist76,False,19,107,1.0,0.4,0.0,0.909,0.091,0.2023,0.9747362
69,69,69,LOCCITANE_UK,1481614250439512065,2022-01-13 13:08:59, ,0,Victoria_Square,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.80065095
70,70,70,LOCCITANE_UK,1481566699925082112,2022-01-13 10:00:02,paws off my almond shower oil whats your favourite loccitane product thats just too good to share let us k ,6,,False,20,107,0.6000000000000001,0.7,0.0,0.769,0.231,0.6249,0.96079993
71,71,71,LOCCITANE_UK,1480920487102492676,2022-01-11 15:12:12, hi ive just checked and cant see any dms in our inbox from yourself you can email us at contactcouk,0,xTigz,False,20,100,0.0,0.0,0.0,1.0,0.0,0.0,0.9548021
72,72,72,LOCCITANE_UK,1480841925263462401,2022-01-11 10:00:02,say no to to dryness this january use our comforting shea collection for nourished and soft skin this winter now ,2,,False,20,113,0.35,0.1,0.096,0.786,0.118,0.128,0.98189205
73,73,73,LOCCITANE_UK,1480512586042908674,2022-01-10 12:11:21, hi im sorry to hear your bubble bath doesnt live up to our high quality expectations so t ,0,boy_lanky,False,18,91,0.68,-0.0678787878787878,0.075,0.925,0.0,-0.0772,0.94995546
74,74,74,LOCCITANE_UK,1479754760139915266,2022-01-08 10:00:01,our winter essentials for cold weather comment below with your favourite ,8,,False,11,73,1.0,-0.6,0.0,1.0,0.0,0.0,0.91979045
75,75,75,LOCCITANE_UK,1479392372970508288,2022-01-07 10:00:02,the hands that care we purchase our shea butter directly from the producers weve been working with women in bu ,2,,False,20,111,0.4,0.1,0.0,0.856,0.144,0.4939,0.794072
76,76,76,LOCCITANE_UK,1479029984173838338,2022-01-06 10:00:01,chic in its simplicity the bonne mère soaps come without any packaging a welcome addition in any ecoconscious h ,4,,False,19,112,0.9,0.8,0.127,0.766,0.107,-0.0976,0.9529276
77,77,77,LOCCITANE_UK,1478667602373210115,2022-01-05 10:00:03,new product ale our shea ultra rich body cream refill this sustainable ecorefill option made from recyc ,2,,False,17,104,0.6022727272727273,0.2556818181818182,0.0,0.816,0.184,0.5574,0.9762816
78,78,78,LOCCITANE_UK,1478664264789364739,2022-01-05 09:46:47, happy new year ,0,theperfumeruk,False,3,16,0.7272727272727273,0.4681818181818182,0.0,0.351,0.649,0.5719,0.87577534
79,79,79,LOCCITANE_UK,1478388289958817797,2022-01-04 15:30:10, hi kim it looks like your purchase qualified for the free cleanser promotion that the assistant told ,0,kimwright741,False,17,102,0.8,0.4,0.0,0.721,0.279,0.7003,0.89094144
80,80,80,LOCCITANE_UK,1477580433491566592,2022-01-02 10:00:02,is there anything better than getting cosy after a cold winters day take some time for yourself to unwind this su ,2,,False,21,114,0.75,-0.0499999999999999,0.0,0.868,0.132,0.4404,0.8141624
81,81,81,LOCCITANE_UK,1477218046414524418,2022-01-01 10:00:02,new year time to reset how are you planning to kick off the new year on a positive note sho ,2,,False,20,92,0.4848484848484848,0.1666666666666666,0.0,0.833,0.167,0.5574,0.9479046
82,82,82,LOCCITANE_UK,1476856014133628928,2021-12-31 10:01:27, what a year it has been but with your help we have accomplished so much watch to see just some of the hig ,0,,False,23,107,0.35,0.2,0.0,0.73,0.27,0.8126,0.9259409
83,83,83,LOCCITANE_UK,1476586799199711233,2021-12-30 16:11:41, hi number should be the honey harvest hand cream if you were unable to find this in your advent ,0,sallypsnook,False,19,97,0.5,-0.5,0.0,0.791,0.209,0.5423,0.8430651
84,84,84,LOCCITANE_UK,1476553792803856385,2021-12-30 14:00:31, hi you can send an email to contactcouk ,0,MLFisher3,False,8,41,0.0,0.0,0.0,1.0,0.0,0.0,0.90696865
85,85,85,LOCCITANE_UK,1475104119853441024,2021-12-26 14:00:02,nourish to flourish with our almond collection the decadent almond shower oil is great for dry skin seal in the ,7,,False,20,112,0.675,0.3666666666666667,0.0,0.823,0.177,0.6249,0.92326534
86,86,86,LOCCITANE_UK,1474681346022801408,2021-12-25 10:00:05,we would like to wish all of our community a very happy and healthy christmas we hope that you are enjoying the fe ,6,,False,23,115,0.7000000000000001,0.6666666666666666,0.0,0.464,0.536,0.9549,0.975692
87,87,87,LOCCITANE_UK,1474322072008466433,2021-12-24 10:12:28, hi ess we do not offer the same nhs discount online as we do in store the online alternative is our ke ,0,ITgeekess,False,22,104,0.125,0.0,0.0,1.0,0.0,0.0,0.94760513
88,88,88,LOCCITANE_UK,1474309745225830401,2021-12-24 09:23:29, hi mark we are so sorry about the missing items in your wifes advent calendar please get in touch wit ,0,MLFisher3,False,20,103,0.525,-0.35,0.17,0.731,0.099,-0.1633,0.9690325
89,89,89,LOCCITANE_UK,1474045842856157185,2021-12-23 15:54:50, they are discontinued and no longer in production however we may bring out something similar in the future ,1,hannahhamster,False,18,108,0.2625,0.0,0.115,0.885,0.0,-0.296,0.9707066
90,90,90,LOCCITANE_UK,1474045586219274241,2021-12-23 15:53:48, hi ess you can follow this link for our key worker promotion ,0,ITgeekess,False,12,62,1.0,0.0,0.0,1.0,0.0,0.0,0.859328
91,91,91,LOCCITANE_UK,1473610840683073537,2021-12-22 11:06:17, ,0,centremk,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.80065143
92,92,92,LOCCITANE_UK,1473608415272312835,2021-12-22 10:56:39, hi hannah unfortunately our soap dishes are currently out of stock online you can contact your loc ,0,hannahhamster,False,17,100,0.7,-0.25,0.13,0.87,0.0,-0.34,0.88762826
93,93,93,LOCCITANE_UK,1472552303563448326,2021-12-19 13:00:02,gifts from loccitane are gifts of elegance and finesse all generations of women in my family love the products a ,0,,False,20,113,0.6,0.5,0.0,0.7,0.3,0.8074,0.9825803
94,94,94,LOCCITANE_UK,1471504007256363018,2021-12-16 15:34:29,this year you can send a gift to a loved one order the toiletries you forgot during your festive city break or do ,0,,False,23,114,0.8,0.7,0.0,0.647,0.353,0.8689,0.9341755
95,95,95,LOCCITANE_UK,1470725170088136704,2021-12-14 11:59:39, ,1,AmandaYeardsley,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.80065143
96,96,96,LOCCITANE_UK,1470724147902771204,2021-12-14 11:55:36, thank you ryan ,0,perfectblue74,False,3,16,0.0,0.0,0.0,0.444,0.556,0.3612,0.765507
97,97,97,LOCCITANE_UK,1470722410160668677,2021-12-14 11:48:41, hi heather were sorry to hear this please contact our customer care team on or vi ,0,heathergerrick,False,16,83,1.0,-0.5,0.065,0.646,0.289,0.6731,0.9280647
98,98,98,LOCCITANE_UK,1470377501507698690,2021-12-13 12:58:09, hi lorna were sorry to hear thisplease contact our customer care team on or via ,0,lornarobertson_,False,15,81,1.0,-0.5,0.074,0.743,0.183,0.4404,0.9641321
99,99,99,LOCCITANE_UK,1468883125723820032,2021-12-09 10:00:02,we are delighted to announce that our youth hand cream has won best hand cream in the cosmopolitan beauty awards ,5,,False,20,113,0.3666666666666667,0.5666666666666667,0.0,0.348,0.652,0.9761,0.95801085
100,100,100,LOCCITANE_UK,1468626455936462851,2021-12-08 17:00:07,on black friday we opened our latest boutique at ashford designer outlet our first outlet to open in years wh ,1,,False,20,110,0.5416666666666667,0.1458333333333333,0.0,1.0,0.0,0.0,0.9532295
101,101,101,LOCCITANE_UK,1468264055294992384,2021-12-07 17:00:04,thanks to your purchases of our hand creams during our give back friday event we are delighted to announce that ,4,,False,20,112,0.3,0.3,0.0,0.644,0.356,0.8555,0.9768108
102,102,102,LOCCITANE_UK,1468128150424981506,2021-12-07 08:00:02,countdown to christmas discover a daily exclusive surprise during december with our digital advent calendar ope ,5,,False,16,112,0.0,0.0,0.0,0.783,0.217,0.3818,0.9530282
103,103,103,LOCCITANE_UK,1466754104974184449,2021-12-03 13:00:04,make this holiday season stress free with our complementary gift wrapping instore get a special gift for a loved ,1,,False,19,113,0.7238095238095239,0.4857142857142857,0.09,0.321,0.59,0.9393,0.864558
104,104,104,LOCCITANE_UK,1465984020957650952,2021-12-01 10:00:01,put your hands up in the comments if youre excited loccitane tistheseason ,6,,False,12,74,0.75,0.375,0.0,0.821,0.179,0.34,0.9548794
105,105,105,LOCCITANE_UK,1465244155924340746,2021-11-29 09:00:04, cyber monday offer happy cyber monday everyone were treating you to up to on selected body care fragran ,2,,False,18,105,1.0,0.8,0.0,0.699,0.301,0.7845,0.9479431
106,106,106,LOCCITANE_UK,1464172082707632131,2021-11-26 10:00:02, per hand cream sold until november will be invested in tree planting in the uk and ireland ,6,,False,17,92,0.0,0.0,0.0,0.833,0.167,0.4939,0.96199375
107,107,107,LOCCITANE_UK,1463793970970910720,2021-11-25 08:57:33,give back friday is here stock up on your favourites now with off fullprice products plus per h ,2,,False,18,96,0.0,0.0,0.0,1.0,0.0,0.0,0.7792678
108,108,108,LOCCITANE_UK,1463553023196598275,2021-11-24 17:00:06, new season new routine our limited edition winter walk collection brings softness and comfort to your skin w ,5,,False,18,110,0.3506493506493506,0.067099567099567,0.098,0.773,0.129,0.1531,0.9485006
109,109,109,LOCCITANE_UK,1462726952758874116,2021-11-22 10:17:36,we are delighted to announce that our almond supple skin oil has been announced as an indybest buy for best body oi ,6,,False,22,116,0.5,0.85,0.0,0.727,0.273,0.8176,0.97938097
110,110,110,LOCCITANE_UK,1461650505084510218,2021-11-19 11:00:11,whos excited for black friday let us know with a ,0,,False,10,49,0.5916666666666667,0.1041666666666666,0.0,0.769,0.231,0.34,0.91194344
111,111,111,LOCCITANE_UK,1461273051807424512,2021-11-18 10:00:19,start every day of december discovering our most popular body hair and skincare products with days of pamp ,4,,False,18,107,0.7,0.55,0.0,0.846,0.154,0.4754,0.9697157
112,112,112,LOCCITANE_UK,1460910591086714881,2021-11-17 10:00:01,we love this immortelle wreath made in loccitanes factory in manosque what festive decorations will you be makin ,6,,False,18,113,0.6,0.5,0.0,0.69,0.31,0.802,0.9740936
113,113,113,LOCCITANE_UK,1459823429159325698,2021-11-14 10:00:02,this festive season your beloved shea butter hand cream receives the holiday treatment with a festive packaging in ,3,,False,18,115,1.0,0.7,0.0,0.441,0.559,0.9349,0.96167934
114,114,114,LOCCITANE_UK,1457649099356864512,2021-11-08 10:00:01,for a scent that smells pawsitively purrfect try our terre de lumière leau eau de toilette shop here ,7,,False,18,101,0.0,0.0,0.0,1.0,0.0,0.0,0.92225766
115,115,115,LOCCITANE_UK,1457286719720411140,2021-11-07 10:00:03,this christmas youre invited to discover the loccitane gift factory window display at our regent street flagship ,9,,False,17,113,0.0,0.0,0.0,0.777,0.223,0.5106,0.9690379
116,116,116,LOCCITANE_UK,1456924327668899844,2021-11-06 10:00:02,what fragrance did you get let us know discover more here ,1,,False,11,58,0.5,0.5,0.0,1.0,0.0,0.0,0.6595362
117,117,117,LOCCITANE_UK,1456667663535513604,2021-11-05 17:00:09,happy bonfire night everyone do you have any fun plans let us know ,3,,False,13,67,0.6,0.55,0.0,0.611,0.389,0.7906,0.9429376
118,118,118,LOCCITANE_UK,1456561943364341766,2021-11-05 10:00:03,make this holiday season go off with a bang with our festive cracker collection shop here ,5,,False,16,90,0.0,0.0,0.0,0.695,0.305,0.6908,0.9270953
119,119,119,LOCCITANE_UK,1456199556496965637,2021-11-04 10:00:03,the perfect floral treat this delicate fruity and lively body care gift is a celebration of the poetic beauty of ,3,,False,20,113,0.7875,0.3028409090909091,0.0,0.37,0.63,0.961,0.9513402
120,120,120,LOCCITANE_UK,1455112387225214976,2021-11-01 10:00:02,exciting news our bluewater and oxford stores now have our refill fountains whos going to try ,5,,False,16,94,0.8,0.3,0.0,0.824,0.176,0.4939,0.9785442
121,121,121,LOCCITANE_UK,1454749995299590144,2021-10-31 10:00:01,happy halloween everyone did you have any fun halloween plans this weekend let us know,2,,False,15,86,0.6,0.55,0.0,0.65,0.35,0.7906,0.9427595
122,122,122,LOCCITANE_UK,1454372509948678152,2021-10-30 09:00:01,halloween is tomorrow make sure your skin doesnt have a scare and your makeup is properly removed this spooky s ,2,,False,20,112,0.4944444444444444,0.25,0.0,0.765,0.235,0.6031,0.9557165
